Posture Number,Deltoid Anterior,Deltoid Posterior,Bicep,Tricep,Brachialis,Anconeus
1.0,-2.5789371060487616,1.2641314130731629,-10.038746431638121,-5.8072687517889037,-2.459327536404444,1.7238850242696291
2.0,-2.5587766280597855,1.2556427907620151,-10.024444310445789,-5.7989258477600441,-2.4712758760083613,1.7318505840055738
3.0,-2.5386727068199071,1.2471779818189084,-10.009603368727037,-5.7902686317574386,-2.4829012252709748,1.7396008168473163
4.0,-2.5186255597269578,1.2387370777797717,-9.9942268369361589,-5.7812989882127592,-2.4942049934635935,1.7471366623090621
5.0,-2.4986355134778377,1.2303202162011948,-9.9783179369922816,-5.7720187965788305,-2.5051884820434527,1.7544589880289683
6.0,-2.4787030016111777,1.2219275796257592,-9.9618798907615123,-5.7624299362775488,-2.5158528912227989,1.7615685941485324
7.0,-2.4588285621378452,1.2135593945843559,-9.9449159280188777,-5.7525342913443449,-2.5261993261946381,1.7684662174630918
8.0,-2.4390128352448852,1.2052159306294252,-9.9274292939089683,-5.7423337547802316,-2.5362288030382776,1.7751525353588515
9.0,-2.4192565610596364,1.1968974993935311,-9.9094232559219257,-5.7318302326211228,-2.5459422543255177,1.7816281695503449
10.0,-2.3995605774618354,1.1886044536681413,-9.8909011103991347,-5.7210256477328283,-2.5553405344462496,1.7878936896308328
11.0,-2.379925817932536,1.18033718649791,-9.8718661885812331,-5.7099219433390527,-2.5644244246703196,1.7939496164468796
12.0,-2.3603533094295894,1.1720961302861428,-9.8523218622093047,-5.6985210862887605,-2.5731946379608313,1.7997964253072205
13.0,-2.3408441702803553,1.1638817559075181,-9.8322715486887926,-5.6868250700684619,-2.5816518235524812,1.8054345490349872
14.0,-2.3213996080831021,1.155694571824464,-9.8117187158243588,-5.6748359175642094,-2.589796571307136,1.8108643808714238
15.0,-2.3020209176094242,1.1475351232039681,-9.7906668861329926,-5.6625556835775797,-2.5976294158575679,1.8160862772383783
16.0,-2.2827094787007107,1.1394039910318783,-9.7691196407416765,-5.6499864570993115,-2.6051508405491131,1.821100560366075
17.0,-2.2634667541524744,1.1313017912220946,-9.7470806228753393,-5.6371303633439478,-2.6123612811879573,1.8259075207919713
18.0,-2.2442942875810541,1.1232291737183386,-9.7245535409401231,-5.6239895655484062,-2.6192611296038009,1.8305074197358668
19.0,-2.2251937012678673,1.1151868215864704,-9.7015421712066772,-5.61056626653723,-2.6258507370337809,1.8349004913558535
20.0,-2.206166693977115,1.1071754500956272,-9.6780503600978154,-5.59686271005706,-2.6321304173337472,1.8390869448891645
21.0,-2.1872150387434162,1.0991958057867017,-9.6540820260846854,-5.5828811818827333,-2.6381004500222649,1.8430669666815096
22.0,-2.1683405806265554,1.0912486655269706,-9.6296411611955506,-5.5686240106974054,-2.6437610831620919,1.8468407221080609
23.0,-2.1495452344310833,1.0833348355499299,-9.6047318321411925,-5.55409356874903,-2.6491125360832548,1.8504083573888364
24.0,-2.1308309823891554,1.0754551504796444,-9.5793581810611546,-5.5392922722856728,-2.6541550019513775,1.8537700013009182
25.0,-2.1121998718055721,1.0676104723391884,-9.5535244258951213,-5.524222581772154,-2.6588886501843874,1.8569257667895911
26.0,-2.0936540126645413,1.0598016895429647,-9.5272348603840236,-5.508887001890681,-2.6633136287203412,1.8598757524802272
27.0,-2.0751955751982454,1.0520297158729455,-9.5004938537056844,-5.4932880813283163,-2.6674300661387154,1.8626200440924767
28.0,-2.0568267874178869,1.0442954894391103,-9.4733058497503286,-5.4774284123543584,-2.6712380736371664,1.8651587157581104
29.0,-2.0385499326083325,1.0365999716245611,-9.4456753660414741,-5.4613106301908605,-2.6747377468654752,1.8674918312436497
30.0,-2.020367346788063,1.0289441460160265,-9.4176069923083663,-5.4449374121798808,-2.6779291676181241,1.8696194450787489
