Posture Number,Deltoid Anterior,Deltoid Posterior,Bicep,Tricep,Brachialis,Anconeus
1.0,-2.5044433850364798,1.2327656358048336,-11.091687607279326,-6.4214844375796076,-3.0563711230787876,2.1219140820525251
2.0,-2.4827468881658543,1.2236302687014124,-11.054060482041432,-6.3995352811908361,-3.058112136442539,2.1230747576283591
3.0,-2.4611715973150612,1.2145459357116046,-11.015889640413967,-6.3772689569081482,-3.0594664648558729,2.1239776432372488
4.0,-2.4397225725263025,1.2055147673794959,-10.977184360511066,-6.3546908769647885,-3.0604339536516676,2.1246226357677784
5.0,-2.4184049266680008,1.1965389164917897,-10.937954107451521,-6.3318065626800539,-3.0610144916192334,2.1250096610794889
6.0,-2.3972238178663532,1.1876205548910961,-10.898208520486229,-6.3086216369502992,-3.0612080117381479,2.1251386744920984
7.0,-2.3761844418570921,1.1787618702556177,-10.857957399388747,-6.2851418163101034,-3.0610144916192334,2.1250096610794889
8.0,-2.3552920242847701,1.1699650628567453,-10.817210690158689,-6.2613729025925693,-3.0604339536516676,2.1246226357677784
9.0,-2.3345518129777223,1.1612323423064093,-10.775978470090587,-6.2373207742195103,-3.0594664648558729,2.1239776432372488
10.0,-2.3139690702275932,1.1525659243063551,-10.734270932263675,-6.212991377153811,-3.058112136442539,2.1230747576283591
11.0,-2.2935490651027544,1.1439680274116861,-10.692098369510163,-6.1883907155475946,-3.0563711230787876,2.1219140820525251
12.0,-2.2732970658252269,1.1354408698211482,-10.649471157921534,-6.1635248421208946,-3.0542436218631841,2.1204957479087891
13.0,-2.2532183322407824,1.1269866662066454,-10.606399739953725,-6.1383998483063404,-3.051729871011911,2.1188199140079402
14.0,-2.2333181084118081,1.1186076245944454,-10.562894607193121,-6.1130218541959884,-3.0488301482590585,2.116886765506039
15.0,-2.2136016153621223,1.1103059433103675,-10.518966282845733,-6.0873969983266782,-3.045544768974541,2.1146965126496937
16.0,-2.1940740440024613,1.1020838080010362,-10.474625304011996,-6.0615314273403307,-3.0418740840036662,2.1122493893357777
17.0,-2.1747405482646118,1.0939433887429946,-10.42988220380921,-6.0354312855553722,-3.0378184772328676,2.1095456514885784
18.0,-2.1556062384713002,1.0858868372510737,-10.384747493402795,-6.0091027044849632,-3.0333783628864821,2.1065855752576543
19.0,-2.1366761749678655,1.0779162841969963,-10.339231644006089,-5.9825517923368849,-3.0285541825598035,2.1033694550398687
20.0,-2.1179553620405862,1.0700338366486679,-10.293345068906786,-5.9557846235289595,-3.0233464019938907,2.0998976013292605
