Posture Number,Deltoid Anterior,Deltoid Posterior,Bicep,Tricep,Brachialis,Anconeus
1.0,-2.5485475236418762,1.2513357994281584,-10.303290696831159,-5.9615862398181765,-2.6203897997022234,1.8312598664681485
2.0,-2.5285208708692504,1.2429035245765265,-10.28304661490178,-5.9497771920260387,-2.6292403771537054,1.8371602514358034
3.0,-2.5085550149186,1.2344968483867789,-10.262277342386856,-5.9376617830589993,-2.6377707623231763,1.8428471748821171
4.0,-2.4886513296777584,1.2261163493380034,-10.240986412613935,-5.925242074024796,-2.6459814202964602,1.8483209468643065
5.0,-2.4688112824376867,1.2177626452369206,-10.219177432363216,-5.912520168878542,-2.6538727643985367,1.8535818429323574
6.0,-2.4490364317399096,1.209436392311541,-10.196854085890958,-5.8994982167697252,-2.6614451602445124,1.8586301068296747
7.0,-2.4293284251920189,1.2011382842913765,-10.174020138509384,-5.8861784141304749,-2.6686989295990955,1.8634659530660633
8.0,-2.4096889972455751,1.1928690514718212,-10.150679439725929,-5.8725630065067929,-2.6756343540513674,1.8680895693675779
9.0,-2.3901199669315796,1.1846294597606652,-10.126835925944732,-5.8586542901344281,-2.6822516785108701,1.8725011190072463
10.0,-2.3706232355493571,1.1764203097049926,-10.102493622732823,-5.8444546132608135,-2.6885511145301781,1.8767007430201186
11.0,-2.3512007843054423,1.1682424354970282,-10.077656646653667,-5.8299663772146388,-2.6945328434585196,1.8806885623056795
12.0,-2.3318546718997704,1.1600967039577981,-10.052329206670725,-5.8151920372245893,-2.7001970194303171,1.8844646796202111
13.0,-2.3125870320571353,1.1519840134977413,-10.02651560512386,-5.8001341029889186,-2.705543772192013,1.8880291814613417
14.0,-2.2934000710026115,1.143905293053731,-10.000220238281813,-5.7847951389977244,-2.7105732097700121,1.8913821398466744
15.0,-2.2742960648802608,1.1358615010022151,-9.9734475964742462,-5.769177764609978,-2.7152854209821395,1.8945236139880925
16.0,-2.2552773571151694,1.1278536240484924,-9.9462022638074661,-5.7532846538876896,-2.7196804777946255,1.8974536518630833
17.0,-2.2363463557194008,1.1198826760923795,-9.9184889174682187,-5.7371185351897953,-2.7237584375262567,1.9001722916841708
18.0,-2.2175055305432334,1.1119496970708354,-9.8903123266208635,-5.720682190528839,-2.7275193449010535,1.9026795632673685
19.0,-2.198757410473509,1.1040557517783198,-9.8616773509035518,-5.7039784546937398,-2.7309632339505576,1.9049754893003714
20.0,-2.1801045805816543,1.0962019286659599,-9.832588938529959,-5.687010214142477,-2.7340901297665705,1.9070600865110467
21.0,-2.1615496792244153,1.0883893386208063,-9.8030521240036812,-5.6697804056688152,-2.7369000501050267,1.9089333667366841
22.0,-2.1430953951009863,1.0806191137267311,-9.7730720254532439,-5.6522920148477258,-2.7393930068414769,1.9105953378943177
23.0,-2.124744464270679,1.0728924060087071,-9.7426538415963027,-5.6345480742645098,-2.741569007278561,1.9120460048523737
24.0,-2.1064996671358505,1.0652103861624633,-9.7118028483425256,-5.6165516615331406,-2.7434280553057202,1.9132853702038133
25.0,-2.088363825395267,1.0575742422716914,-9.6805243950452358,-5.5983058971097215,-2.7449701524113124,1.9143134349408746
26.0,-2.0703397989735115,1.0499851785151628,-9.6488239004127259,-5.5798139419074246,-2.7461952985472475,1.9151301990314979
27.0,-2.0524304829325439,1.0424444138663342,-9.6167068480908764,-5.5610789947196775,-2.7471034928461862,1.9157356618974573
28.0,-2.0346388043718342,1.0349531807881407,-9.5841787819292996,-5.5421042894587593,-2.7476947341913331,1.9161298227942218
29.0,-2.016967719323902,1.0275127239258537,-9.5512453009440037,-5.5228930922173358,-2.7479690216388319,1.9163126810925544
30.0,-1.9994202096524163,1.0201242988010175,-9.5179120539900737,-5.5034486981608772,-2.7479263546927477,1.9162842364618315
31.0,-1.981999279960277,1.0127891705095906,-9.4841847341584433,-5.4837744282590926,-2.7475667334326439,1.9160444889550956
32.0,-1.9647079545153898,1.0055086124275325,-9.4500690729113632,-5.4638736258649612,-2.7468901584937333,1.9155934389958218
33.0,-1.9475492742020217,0.99828390492716712,-9.4155708339714899,-5.4437496531500358,-2.7458966308996193,1.9149310872664127
34.0,-1.9305262935058451,0.99111633410772448,-9.3806958069800057,-5.4234058874050035,-2.7445861517476233,1.9140574344984151
35.0,-1.9136420775408978,0.98400719054353603,-9.3454498009393188,-5.4028457172146034,-2.742958721746704,1.9129724811644691
36.0,-1.8968996991267715,0.97695776805337764,-9.3098386374561599,-5.382072538516093,-2.7410143406079808,1.9116762270719869
37.0,-1.8803022359244603,0.96996936249450982,-9.2738681438009802,-5.3610897505505726,-2.7387530062878436,1.9101686708585621
38.0,-1.8638527676392851,0.96304327058496231,-9.2375441457995642,-5.3399007517164137,-2.7361747140836177,1.9084498093890783
39.0,-1.8475543732993212,0.95618078875760903,-9.2008724605726915,-5.3185089353340711,-2.7332794555817257,1.9065196370544835
40.0,-1.8314101286177276,0.94938321204956955,-9.1638588891394832,-5.2969176853313655,-2.7300672174582106,1.9043781449721402
41.0,-1.8154231034472914,0.94265183303043854,-9.1265092088998649,-5.2751303718582552,-2.7265379801314462,1.9020253200876305
42.0,-1.7995963593354254,0.93598794077281078,-9.0888291660111253,-5.2531503468398242,-2.7226917162667386,1.8994611441778255
43.0,-1.7839329471877057,0.92939281986850775,-9.0508244676731575,-5.2309809394760087,-2.7185283891324366,1.8966855927549575
44.0,-1.7684359050479002,0.92286774949385286,-9.0125007743363295,-5.208625451696193,-2.7140479508069961,1.8936986338713304
45.0,-1.7531082560022826,0.91641400252727701,-8.9738636918453381,-5.1860871535764481,-2.7092503402362969,1.8905002268241975
46.0,-1.7379530062158071,0.91003284472244517,-8.934918763531611,-5.1633692787267744,-2.7041354811403044,1.8870903207602026
47.0,-1.7229731431075443,0.90372553394001875,-8.8956714622659092,-5.1404750196551152,-2.6987032797679134,1.8834688531786086
48.0,-1.7081716336725525,0.8974933194410748,-8.8561271824819308,-5.1174075231144602,-2.6929536224985475,1.8796357483323647
49.0,-1.6935514229571473,0.89133744124511471,-8.8162912321805944,-5.0941698854386814,-2.68688637328879,1.8755909155258597
50.0,-1.6791154326943045,0.88525912955549679,-8.7761688249235608,-5.070765147872077,-2.6805013709619132,1.8713342473079417
51.0,-1.6648665601057142,0.87925960425503769,-8.7357650718232982,-5.047196291896924,-2.6737984263378149,1.866865617558543
52.0,-1.6508076768767994,0.87334007447444195,-8.6950849735357618,-5.0234662345625285,-2.6667773192003867,1.8621848794669242
53.0,-1.6369416283108043,0.86750173823612819,-8.6541334122601992,-4.9995778238184503,-2.6594377950988113,1.8572918633992073
54.0,-1.6232712326678735,0.86174578217594688,-8.6129151437492553,-4.9755338338537332,-2.6517795619787479,1.8521863746524982
55.0,-1.6097992806948991,0.85607338134522082,-8.5714347893308602,-4.9513369604430029,-2.6438022866386839,1.8468681910924556
56.0,-1.5965285353517438,0.85048569909547123,-8.5296968279417236,-4.92698981629934,-2.6355055910060523,1.8413370606707011
57.0,-1.5834617317393984,0.84498388704816785,-8.4877055881705825,-4.9024949264328406,-2.6268890482269138,1.8355926988179423
58.0,-1.5706015772355129,0.83956908515179496,-8.4454652403073496,-4.8778547235126215,-2.6179521785621365,1.8296347857080906
59.0,-1.5579507518427755,0.83424242182853714,-8.4029797883925319,-4.8530715432289764,-2.6086944450820573,1.8234629633880379
60.0,-1.5455119087556095,0.8290050142128883,-8.3602530622590887,-4.8281476196511353,-2.5991152491505458,1.8170768327670301
61.0,-1.5332876751507734,0.8238579684845363,-8.3172887095568857,-4.8030850805748511,-2.5892139256882372,1.8104759504588244
62.0,-1.5212806532075944,0.81880238029793462,-8.2740901877475395,-4.7778859428527323,-2.5789897382034179,1.8036598254689449
63.0,-1.5094934213638009,0.81383933531107422,-8.2306607560551246,-4.752552107698822,-2.5684418735776458,1.7966279157184302
64.0,-1.4979285358132299,0.80896990981609695,-8.1870034673557068,-4.7270853559574952,-2.5575694365916357,1.7893796243944236
65.0,-1.4865885322520762,0.80419517147455855,-8.1431211599859683,-4.7014873433251481,-2.5463714441752283,1.7819142961168186
66.0,-1.4754759278808616,0.79951618016036285,-8.0990164494484329,-4.675759595511586,-2.5348468193634006,1.7742312129089335
67.0,-1.4645932236699026,0.79493398891364331,-8.0546917199877353,-4.6499035033261791,-2.5229943849381704,1.7663295899587801
68.0,-1.4539429068967802,0.7904496450091707,-8.010149116009222,-4.6239203176720469,-2.5108128567339771,1.7582085711559845
69.0,-1.443527453965185,0.78606419114323589,-7.9653905333077395,-4.5978111444295138,-2.4983008365815893,1.7498672243877258
70.0,-1.4333493335155205,0.78177866674337715,-7.9204176100707189,-4.5715769392079189,-2.485456804862761,1.7413045365751738
71.0,-1.4234110098388129,0.77759410940581608,-7.8752317176157076,-4.5452185019424967,-2.4722791126447676,1.732519408429845
72.0,-1.4137149466068493,0.77351155646604186,-7.8298339508181494,-4.5187364713105875,-2.4587659733604807,1.7235106489069869
73.0,-1.4042636109330127,0.76953204670863706,-7.7842251181804478,-4.4921313189385952,-2.4449154539957907,1.7142769693305269
74.0,-1.3950594777800798,0.76565662222319153,-7.7384057314881964,-4.4654033433681146,-2.4307254657419173,1.7048169771612778
75.0,-1.3861050347332919,0.76188633041401777,-7.6923759949937081,-4.4385526637463304,-2.4161937540653144,1.695129169376876
76.0,-1.3774027871593417,0.75822222617235457,-7.6461357940606902,-4.411579213202069,-2.4013178881425472,1.6852119254283646
77.0,-1.368955263774571,0.7546653742208721,-7.5996846831968856,-4.3844827318648498,-2.3860952496014805,1.6750634997343201
78.0,-1.3607650226487022,0.75121685164155894,-7.5530218733937282,-4.3572627594796742,-2.3705230205033563,1.664682013668904
79.0,-1.3528346576738739,0.74787775059952599,-7.5061462186833081,-4.329918627565263,-2.3545981704927206,1.6540654469951468
80.0,-1.3451668055326451,0.74464918127690327,-7.459056201813155,-4.3024494510576741,-2.3383174430335449,1.6432116286890297
81.0,-1.3377641532031186,0.74153227503289221,-7.4117499189283444,-4.2748541193748668,-2.3216773406401647,1.6321182270934429
82.0,-1.3306294460444035,0.73852818780816998,-7.364225063137944,-4.2471312868304665,-2.3046741090005893,1.620782739333726
83.0,-1.3237654965114336,0.73563810379428796,-7.3164789068286646,-4.2192793623167208,-2.2873037198771846,1.6092024799181228
84.0,-1.3171751935547991,0.73286323939149445,-7.2685082825725491,-4.1912964981673202,-2.269561852655412,1.5973745684369411
